CRN,Course,Sec,Seats,Title,Days,Times,Instructor,Loc,Class Info
21305,ACCT 1A,03Z,WL,"Financial Accounting IView FootnoteACCT-001A-03Z: : Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning. 
",·T·R···,02:20 PM-04:10 PM,Sandra Li,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
27175,ACCT 1A,04Z,Open,"Financial Accounting IView FootnoteACCT-001A-04Z: : Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning. 
",·T·R···,12:30 PM-02:20 PM,Mia Breen,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
24001,ACCT 1A,05Z,WL,"Financial Accounting IView FootnoteACCT-001A-05Z: : Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning. 
",M·W····,09:30 AM-11:20 AM,Catherina Wong,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
25923,ACCT 1A,07Z,WL,"Financial Accounting IView FootnoteACCT-001A-07Z:: Fully ONLINE. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning. 
",·T·R···,09:30 AM-11:20 AM,Richard Claire,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
26772,ACCT 1A,01GZ,Open,"Financial Accounting IView FootnoteACCT-001A-1GZ: This is a dual enrollment class for Fremont Union High School students ONLY. This section is offered through the CCAP agreement between Fremont Union High School District and De Anza College. This is an online class with SOME scheduled meetings as noted in the class listing. The rest of the class can be completed independently each week on the student's own time. Students must have access to a computer, the internet and an individual email address. Most De Anza classes will use the Canvas course management system. We recommend a laptop or desktop computer to successfully complete the course; a tablet or phone may not be adequate for all assignments and tests. Information about Canvas and Online Education Orientation can be found in Canvas on the Student Resources page: https://deanza.instructure.com/courses/3382. The Student Online Resources hub with extensive information and tips can be found at deanza.edu/online-ed/students/remotelearning.",·T·R···,02:20 PM-04:10 PM,Sandra Li,ONLINE,OL 
TBA,·······,TBA-TBA,,,,,,,
