Course,Title
ACCT 1A,Financial Accounting I
ACCT 1AH,Financial Accounting I - HONORS
ACCT 1B,Financial Accounting II
ACCT 1BH,Financial Accounting II - HONORS
ACCT 1C,Managerial Accounting
ACCT 51A,Intermediate Accounting
ACCT 58,Auditing
ACCT 64,Payroll and Business Tax Accounting
ACCT 67,Individual Income Taxation
ACCT 68,Advanced Tax Accounting
ACCT 74,Accounting Ethics
ACCT 87AI,Computerized Accounting Programs I (Quickbooks)
ACCT 88,Excel Spreadsheets for Accounting
ADMJ 3,Concepts of Criminal Law (CP 2)
ADMJ 6,"Crime, Correction and Society"
ADMJ 11,Federal Courts and Constitutional Law
ADMJ 29,"Ethnic Studies, Cultural Pluralism, and American Law and Justice"
ADMJ 51,Women in Crime
ADMJ 54,Youth and the Law
ADMJ 73,Crime and Criminology
ADMJ 75,Principles and Procedures of the Justice System
ADMJ 95,Overview of American Law
AFAM 10,An Introduction to African American Studies
AFAM 12A,African American History to 1865
ANTH 1,Physical Anthropology
ANTH 1L,Physical Anthropology Laboratory
ANTH 2,Cultural Anthropology
ANTH 4,World Prehistory
ANTH 5,"Magic, Science and Religion"
ANTH 6,Linguistic Anthropology
ANTH 7,Introduction to Forensic Anthropology
ARTS 1A,Introduction to the Visual Arts
ARTS 2A,History of Art: Europe from Prehistory through Early Christianity
ARTS 2B,History of Art: Europe During the Middle Ages and the Renaissance
ARTS 2C,History of Art: Europe from the Baroque Period Through Impressionism
ARTS 2D,History of Art: Europe and the United States from Post-Impressionism to the Present
ARTS 2F,History of Art (Multicultural Arts in the United States)
ARTS 2G,History of Art: Arts of Asia
ARTS 2J,"History of Art: Arts of Africa, Oceania and Native North America"
ARTS 3TC,Women and Art
ARTS 4A,Beginning Drawing
ARTS 4B,Intermediate Drawing
ARTS 8,Two-Dimensional Design
ARTS 12,Design and Color
ARTS 53,Introduction to Graphic Design: Vector Illustration
ARTS 55A,Graphic Design-Communication I
ARTS 56,Graphic Design: Page Layout for Digital Publishing
ASAM 1,Asian American Experiences Past to Present
ASAM 11,Asian Americans and Racism
ASAM 20,Asian Pacific American Literature
ASAM 40,History of Art: Arts of Asia
ASAM 41,Introduction to Korean Popular Culture
ASTR 4,Solar System Astronomy
ASTR 10,Stellar Astronomy
AUTO 57A,Career Research and Employment in the Automotive Industry
BIOL 45,Introduction to Human Nutrition
BIOL 54I,Applied Human Anatomy and Physiology: Coordination and Transport
BIOL 54J,"Applied Human Anatomy and Physiology: Absorption, Excretion, and Reproduction"
BUS 10,Introduction to Business
BUS 18,Business Law I
BUS 21,Business and Society
BUS 50,Nonprofit Corporations
BUS 54,Business Mathematics
BUS 55,Introduction to Entrepreneurship
BUS 56,Human Relations in the Workplace
BUS 57,Human Resource Management
BUS 60,International Business Management
BUS 65,Leadership
BUS 70,Principles of E-Commerce
BUS 85,Business Communication
BUS 87,Introduction to Selling
BUS 89,Advertising
BUS 90,Principles of Marketing
BUS 91,Introduction to Personal Finance
BUS 96,Principles of Management
CD 10G,Child Development (The Early Years)
CD 10H,Child Growth and Development (Middle Childhood and Adolescence)
CD 12,"Child, Family and Community Interrelationships"
CD 50,Principles and Practices of Teaching Young Children
CD 52,Observation and Assessment of Children
CD 54,Curriculum for Early Childhood Programs
CD 55,Literacy Development and Activities for the Young Child
CD 58,Infant/Toddler Development
CD 59G,Supervision and Administration of Child Development Programs (Management Systems)
CD 64,"Health, Safety, and Nutrition for the Young Child"
CD 68,Teaching in a Diverse Society
CD 73,Early Childhood Mental Health
CETH 8,Women of Color in the USA
CETH 10,"Race, Ethnicity and Inequality"
CETH 13,History of Art (Multicultural Arts in the United States)
CETH 29,"Ethnic Studies, Cultural Pluralism, and American Law and Justice"
CHEM 10,Introductory Chemistry
CHLX 10,Introduction to Chicanx and Latinx Studies
CHLX 13,The Chicanx and Latinx and the Arts
CIS 2,Computers and the Internet in Society
CIS 3,Business Information Systems
CIS 4,Computer Literacy
CIS 5,Swift Programming
CIS 6,Introduction to Data Communication and Networking
CIS 14A,Visual Basic .NET Programming I
CIS 18A,Introduction to Unix/Linux
CIS 21JA,Introduction to x86 Processor Assembly Language and Computer Architecture
CIS 22A,Beginning Programming Methodologies in C++
CIS 22B,Intermediate Programming Methodologies in C++
CIS 22C,Data Abstraction and Structures
CIS 29,Advanced C++ Programming
CIS 35A,Java Programming
CIS 40,Introduction to Programming in Python
CIS 41A,Python Programming
CIS 41B,Advanced Python Programming
CIS 44A,Database Management Systems
CIS 46,Fundamentals of Digital Security
CIS 64B,Introduction to SQL
CIS 64C,Introduction to PL/SQL
CIS 64G,Data Visualization Methodology and Tools
CIS 69A,Technical Support Fundamentals
CIS 69D,System Administration and IT Infrastructure Services
CIS 79,Managing Technology Projects
CIS 89A,Web Page Development
CIS 89C,Client-Side Programming with JavaScript
CIS 95A,Project Management - A Practicum
CIS 95B,Project Planning and Control - A Practicum
CIS 98,Digital Image Editing Software (Photoshop)
CIS 99,Office Software Applications
CIS 102,Ethical Hacking
CIS 108,Personal Computer Security Basics
CIS 308,Personal Computer Security Basics
CIS 318A,Introduction to Unix/Linux
CIS 340,Introduction to Programming in Python
CIS 369A,Technical Support Fundamentals
CIS 369D,System Administration and IT Infrastructure Services
CIS 398,Digital Image Editing Software (Photoshop)
CIS 399,Office Software Applications
CLP 5,College Major and Career Options
CLP 7,Self-Assessment
COMM 1,Public Speaking
COMM 8,Argumentation and Critical Inquiry in Oral Communication
