CRN,Course,Sec,Seats,Title,Days,Times,Instructor,Loc,Class Info
21305,ACCT 1A,03Z,WL,"""Financial Accounting I""",·T·R···,02:20 PM-04:10 PM,Sandra Li,ONLINE,OL 
27175,ACCT 1A,04Z,Open,"""Financial Accounting I""",·T·R···,12:30 PM-02:20 PM,Mia Breen,ONLINE,OL 
24001,ACCT 1A,05Z,WL,"""Financial Accounting I""",M·W····,09:30 AM-11:20 AM,Catherina Wong,ONLINE,OL 
25923,ACCT 1A,07Z,WL,"""Financial Accounting I""",·T·R···,09:30 AM-11:20 AM,Richard Claire,ONLINE,OL 
26772,ACCT 1A,01GZ,Open,"""Financial Accounting I""",·T·R···,02:20 PM-04:10 PM,Sandra Li,ONLINE,OL 
00007,ACCT 1A,67Z,WL,"""Financial Accounting I""",·······,TBA-TBA,Scott Osborne,ONLINE,OL Download Syllabus for ACCT 1A 67Z 
00022,ACCT 1A,68Z,WL,"""Financial Accounting I""",·······,TBA-TBA,Sandra Li,ONLINE,OL 
27878,ACCT 1AH,04Z,Open,"""Financial Accounting I - HONORS""",·T·R···,12:30 PM-02:20 PM,Mia Breen,ONLINE,OL 
27684,ACCT 1B,02Z,Open,"""Financial Accounting II""",M·W····,06:00 PM-07:50 PM,Michael Riordan,ONLINE,OL 
27685,ACCT 1B,03Z,WL,"""Financial Accounting II""",M·W····,01:30 PM-02:20 PM,Catherina Wong,ONLINE,OL 
22465,ACCT 1B,62Z,WL,"""Financial Accounting II""",·······,TBA-TBA,Sandra Li,ONLINE,OL 
27897,ACCT 1BH,03Z,Open,"""Financial Accounting II - HONORS""",M·W····,01:30 PM-02:20 PM,Catherina Wong,ONLINE,OL 
27690,ACCT 1C,01Z,WL,"""Managerial Accounting""",·T·····,10:00 AM-11:50 AM,Lih Hung,ONLINE,OL 
27691,ACCT 1C,02Z,WL,"""Managerial Accounting""",M·W····,09:30 AM-11:20 AM,Lakshmamma Venkata,ONLINE,OL 
00041,ACCT 1C,62Z,WL,"""Managerial Accounting""",·······,TBA-TBA,Scott Osborne,ONLINE,OL Download Syllabus for ACCT 1C 62Z 
25916,ACCT 1C,65Z,WL,"""Managerial Accounting""",·······,TBA-TBA,Lydia Botsford,ONLINE,OL 
27212,ACCT 51A,62Z,Open,"""Intermediate Accounting""",·······,TBA-TBA,Kevin Mello,ONLINE,OL Download Syllabus for ACCT 51A 62Z 
27694,ACCT 58,62Z,Open,"""Auditing""",·······,TBA-TBA,John Lord,ONLINE,OL 
24843,ACCT 64,62Z,Open,"""Payroll and Business Tax Accounting""",·······,TBA-TBA,Lauri Hammond,ONLINE,OL 
24722,ACCT 67,62Z,Open,"""Individual Income Taxation""",·······,TBA-TBA,Lydia Botsford,ONLINE,OL 
27187,ACCT 68,64Z,Open,"""Advanced Tax Accounting""",·······,TBA-TBA,Lydia Botsford,ONLINE,OL 
24561,ACCT 74,62Z,Open,"""Accounting Ethics""",·······,TBA-TBA,Alexis James,ONLINE,OL 
27695,ACCT 87AI,62Z,Open,"""Computerized Accounting Programs I (Quickbooks)""",·······,TBA-TBA,Lauri Hammond,ONLINE,OL 
25924,ACCT 88,65Z,Open,"""Excel Spreadsheets for Accounting""",·······,TBA-TBA,Lauri Hammond,ONLINE,OL 
27742,ADMJ 3,50Z,Open,"""Concepts of Criminal Law (CP 2)""",·······,TBA-TBA,James Suits,ONLINE,OL 
26985,ADMJ 6,50Z,WL,"""Crime, Correction and Society""",·······,TBA-TBA,Ramona Gabriel,ONLINE,OL 
27736,ADMJ 11,01Z,Open,"""Federal Courts and Constitutional Law""",··W····,06:00 PM-07:50 PM,Kevin Lee,ONLINE,OL 
24340,ADMJ 29,65Z,WL,"""Ethnic Studies, Cultural Pluralism, and American Law and Justice""",·······,TBA-TBA,Meghan Kensler,ONLINE,OL 
26987,ADMJ 51,50Z,WL,"""Women in Crime""",·······,TBA-TBA,Ramona Gabriel,ONLINE,OL 
27739,ADMJ 54,50Z,WL,"""Youth and the Law""",·······,TBA-TBA,DuJuan Green,ONLINE,OL 
27680,ADMJ 73,01Z,WL,"""Crime and Criminology""",···R···,06:00 PM-07:50 PM,James Suits,ONLINE,OL 
26438,ADMJ 75,01Z,WL,"""Principles and Procedures of the Justice System""",M······,06:00 PM-07:50 PM,Griffin Bonini,ONLINE,OL 
26991,ADMJ 95,01Z,Open,"""Overview of American Law""",··W····,06:00 PM-07:50 PM,"BERNARDO, SHERYL",ONLINE,OL 
26996,AFAM 10,60Z,Open,"""An Introduction to African American Studies""",·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL 
27608,AFAM 10,61Z,Open,"""An Introduction to African American Studies""",·······,TBA-TBA,Shanita Ealey,ONLINE,OL 
27966,AFAM 10,62Z,Open,"""An Introduction to African American Studies""",·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL 
26420,AFAM 12A,60Z,Open,"""African American History to 1865""",·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL 
27735,ANTH 1,50Z,Open,"""Physical Anthropology""",·······,TBA-TBA,"FELDMAN, AMANDA",ONLINE,OL 
28010,ANTH 1,51Z,Full,"""Physical Anthropology""",·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OLLQ 
00076,ANTH 1,52Z,Full,"""Physical Anthropology""",·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL 
00082,ANTH 1,55Z,WL,"""Physical Anthropology""",·······,TBA-TBA,Emily Beggs,ONLINE,OL 
00083,ANTH 1,56Z,Open,"""Physical Anthropology""",·······,TBA-TBA,Emily Beggs,ONLINE,OL 
27301,ANTH 1,57Z,Open,"""Physical Anthropology""",·······,TBA-TBA,Leslie Berry,ONLINE,OL 
22301,ANTH 1,62Z,Open,"""Physical Anthropology""",·······,TBA-TBA,Julie Hui,ONLINE,OL 
00086,ANTH 1L,51Z,WL,"""Physical Anthropology Laboratory""",·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OL 
21056,ANTH 1L,52Z,WL,"""Physical Anthropology Laboratory""",·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL 
21157,ANTH 1L,53Z,WL,"""Physical Anthropology Laboratory""",·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL 
21760,ANTH 1L,54Z,Open,"""Physical Anthropology Laboratory""",·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL 
25306,ANTH 2,52Z,WL,"""Cultural Anthropology""",·······,TBA-TBA,Alicia Hedges,ONLINE,OL 
22789,ANTH 2,54Z,Open,"""Cultural Anthropology""",·······,TBA-TBA,Mayra Cerda Aguilar,ONLINE,OL 
22297,ANTH 2,65Z,Open,"""Cultural Anthropology""",·······,TBA-TBA,Angel Roque,ONLINE,OL 
27734,ANTH 4,50Z,Open,"""World Prehistory""",·······,TBA-TBA,Nancy Olsen,ONLINE,OL Download Syllabus for ANTH 4 50Z 
26449,ANTH 5,50Z,Open,"""Magic, Science and Religion""",·······,TBA-TBA,Daniel Solomon,ONLINE,OL 
02449,ANTH 6,50Z,Open,"""Linguistic Anthropology""",·······,TBA-TBA,Ashidhara Das,ONLINE,OL Download Syllabus for ANTH 6 50Z 
25303,ANTH 7,50Z,WL,"""Introduction to Forensic Anthropology""",·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OL 
24216,ARTS 1A,62Z,WL,"""Introduction to the Visual Arts""",·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL Download Syllabus for ARTS 1A 62Z 
24443,ARTS 1A,63Z,WL,"""Introduction to the Visual Arts""",·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL Download Syllabus for ARTS 1A 63Z 
