CRN,Course,Section,Title,Days,Times,Instructor,Loc,Class Info
24340,ADMJ 29,65Z,"Ethnic Studies, Cultural Pluralism, and American Law and JusticeView Footnote",·······,TBA-TBA,Meghan Kensler,ONLINE,OL
26996,AFAM 10,60Z,An Introduction to African American StudiesView Footnote,·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL
27608,AFAM 10,61Z,An Introduction to African American StudiesView Footnote,·······,TBA-TBA,Shanita Ealey,ONLINE,OL
27966,AFAM 10,62Z,An Introduction to African American StudiesView Footnote,·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL
26420,AFAM 12A,60Z,African American History to 1865View Footnote,·······,TBA-TBA,Julie Keiffer-Lewis,ONLINE,OL
24755,ANTH 1,01Y,Physical AnthropologyView Footnote,··W····,01:30 PM-03:20 PM,Ameeta Tiwana,MLC102,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24756,ANTH 1,02Y,Physical AnthropologyView Footnote,·T·····,01:30 PM-03:20 PM,"FELDMAN, AMANDA",MLC102,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
21055,ANTH 1,03Y,Physical AnthropologyView Footnote,M······,10:30 AM-12:20 PM,Elisabeth-Anne Mabie,MLC102,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
27735,ANTH 1,50Z,Physical AnthropologyView Footnote,·······,TBA-TBA,"FELDMAN, AMANDA",ONLINE,OL
28010,ANTH 1,51Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OLLQ
00076,ANTH 1,52Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL
00082,ANTH 1,55Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Emily Beggs,ONLINE,OL
00083,ANTH 1,56Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Emily Beggs,ONLINE,OL
27301,ANTH 1,57Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Leslie Berry,ONLINE,OL
22301,ANTH 1,62Z,Physical AnthropologyView Footnote,·······,TBA-TBA,Julie Hui,ONLINE,OL
24757,ANTH 1L,01,Physical Anthropology LaboratoryView Footnote,M······,01:30 PM-04:20 PM,Emily Beggs,MLC101,
00086,ANTH 1L,51Z,Physical Anthropology LaboratoryView Footnote,·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OL
21056,ANTH 1L,52Z,Physical Anthropology LaboratoryView Footnote,·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL
21157,ANTH 1L,53Z,Physical Anthropology LaboratoryView Footnote,·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL
21760,ANTH 1L,54Z,Physical Anthropology LaboratoryView Footnote,·······,TBA-TBA,Ameeta Tiwana,ONLINE,OL
00089,ANTH 2,01Y,Cultural AnthropologyView Footnote,M······,01:30 PM-03:20 PM,Daniel Solomon,L24,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
00095,ANTH 2,02Y,Cultural AnthropologyView Footnote,···R···,01:30 PM-03:20 PM,Angel Roque,L24,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
00093,ANTH 2,03Y,Cultural AnthropologyView Footnote,·T·····,01:30 PM-03:20 PM,Ashidhara Das,L24,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
25306,ANTH 2,52Z,Cultural AnthropologyView Footnote,·······,TBA-TBA,Alicia Hedges,ONLINE,OL
22789,ANTH 2,54Z,Cultural AnthropologyView Footnote,·······,TBA-TBA,Mayra Cerda Aguilar,ONLINE,OL
22297,ANTH 2,65Z,Cultural AnthropologyView Footnote,·······,TBA-TBA,Angel Roque,ONLINE,OL
25551,ANTH 3,01Y,Introduction to ArchaeologyView Footnote,·T·R···,11:30 AM-12:20 PM,Alicia Hedges,L24,HY
CLAS,·······,TBA-TBA,,ONLINE,,,,
27734,ANTH 4,50Z,World PrehistoryView Footnote,·······,TBA-TBA,Nancy Olsen,ONLINE,OL
26449,ANTH 5,50Z,"Magic, Science and ReligionView Footnote",·······,TBA-TBA,Daniel Solomon,ONLINE,OL
02449,ANTH 6,50Z,Linguistic AnthropologyView Footnote,·······,TBA-TBA,Ashidhara Das,ONLINE,OL
25303,ANTH 7,50Z,Introduction to Forensic AnthropologyView Footnote,·······,TBA-TBA,Elisabeth-Anne Mabie,ONLINE,OL
00117,ARTS 1A,01Y,Introduction to the Visual ArtsView Footnote,···R···,12:30 PM-02:20 PM,Elizabeth Mjelde,MLC103,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26854,ARTS 1A,02Y,Introduction to the Visual ArtsView Footnote,··W····,09:30 AM-11:20 AM,Paul Roehl,FOR3,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26940,ARTS 1A,03Y,Introduction to the Visual ArtsView Footnote,M······,02:30 PM-04:20 PM,Yael Karmi,VPA132,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
26225,ARTS 1A,04Y,Introduction to the Visual ArtsView Footnote,····F··,09:30 AM-11:20 AM,Paul Roehl,A11,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
24216,ARTS 1A,62Z,Introduction to the Visual ArtsView Footnote,·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL
24443,ARTS 1A,63Z,Introduction to the Visual ArtsView Footnote,·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL
25463,ARTS 1A,64Z,Introduction to the Visual ArtsView Footnote,·······,TBA-TBA,Yael Karmi,ONLINE,OL
21198,ARTS 1A,65Z,Introduction to the Visual ArtsView Footnote,·······,TBA-TBA,Deborah Pasturel,ONLINE,OL
00120,ARTS 2A,50Z,History of Art: Europe from Prehistory through Early ChristianityView Footnote,·······,TBA-TBA,Deborah Pasturel,ONLINE,OL
00121,ARTS 2B,50Z,History of Art: Europe During the Middle Ages and the RenaissanceView Footnote,·······,TBA-TBA,Linda Becerril,ONLINE,OL
25978,ARTS 2C,65Z,History of Art: Europe from the Baroque Period Through ImpressionismView Footnote,·······,TBA-TBA,Elizabeth Mjelde,ONLINE,OL
00123,ARTS 2D,50Z,History of Art: Europe and the United States from Post-Impressionism to the PresentView Footnote,·······,TBA-TBA,Linda Becerril,ONLINE,OL
00127,ARTS 2F,61Z,History of Art (Multicultural Arts in the United States)View Footnote,·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL
02534,ARTS 2F,62Z,History of Art (Multicultural Arts in the United States)View Footnote,·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL
25791,ARTS 2G,61Z,History of Art: Arts of AsiaView Footnote,·······,TBA-TBA,So Kam Lee,ONLINE,OL
27624,ARTS 2J,60Z,"History of Art: Arts of Africa, Oceania and Native North AmericaView Footnote",·······,TBA-TBA,Catie Cadge-Moore,ONLINE,OL
25297,ARTS 3TC,50Z,Women and ArtView Footnote,·······,TBA-TBA,Natasha Kleit,ONLINE,OL
27631,ASAM 1,40,Asian American Experiences Past to PresentView Footnote,M·W····,10:00 AM-11:50 AM,Wayne Jopanda,MCC-12,
25794,ASAM 1,61Z,Asian American Experiences Past to PresentView Footnote,·······,TBA-TBA,Mae Lee,ONLINE,OL
25795,ASAM 11,01Y,Asian Americans and RacismView Footnote,···R···,12:30 PM-02:00 PM,Mae Lee,MLC109,HY
TBA,·······,TBA-TBA,,ONLINE,,,,
27800,ASAM 11,60Z,Asian Americans and RacismView Footnote,·······,TBA-TBA,Mae Lee,ONLINE,OL
27626,ASAM 20,60Z,Asian Pacific American LiteratureView Footnote,·······,TBA-TBA,Francesca Caparas,ONLINE,OL
